scenario,oni,temperature,metals,ticker,start_price,mean_return,median_return,p05_return,p25_return,p75_return,p95_return,prob_positive,prob_gain20,prob_loss20,cvar05_return,median_end_price,p05_end_price,p95_end_price
ONI Low | Temp High | Metals Up,Low,High,Up,TT,442.52,0.04289738295996771,0.0461199720514095,-0.16479935127285852,-0.04060678529695516,0.12816554654867324,0.24496180372158213,0.6415,0.1029,0.0289,-0.23192925163551695,462.9290100321897,369.59299107473464,550.9204973828745
ONI Low | Temp High | Metals Up,Low,High,Up,SPXC,191.82,-0.025122818743670467,-0.027796040270684386,-0.22820561579016035,-0.10929378754479657,0.05760665407309046,0.18415162080410272,0.4108,0.0399,0.0749,-0.2946679542765106,186.4881635552773,148.04559877913144,227.14396390264298
ONI Low | Temp High | Metals Up,Low,High,Up,Basket,100.0,0.05492545092508518,0.06076574285569181,-0.19583103305130434,-0.036904362429930754,0.15452331773204286,0.2813116637014334,0.6626,0.1534,0.0473,-0.2683460549297008,106.0765742855692,80.41689669486956,128.13116637014335
ONI Central | Temp Low | Metals Down,Central,Low,Down,MOD,189.3,0.10477012868409497,0.07381344619697272,-0.360615127741422,-0.11752023116686086,0.2961106227760392,0.6668227146090441,0.5985,0.3482,0.1608,-0.4601378050556136,203.27288536508695,121.03555631854881,315.52953987549205
ONI Central | Temp Low | Metals Down,Central,Low,Down,AAON,79.795,0.01761768318490903,0.01652840824904256,-0.3138670573620313,-0.11141587773567327,0.14896339060607616,0.333957116294689,0.5359,0.1706,0.1259,-0.4061611913924202,81.11388433623236,54.74997815779672,106.44310809473471
ONI Central | Temp Low | Metals Down,Central,Low,Down,VRT,257.06,0.20164651265978253,0.1834236253043987,-0.2892555816760322,-4.5915629602960584e-05,0.3906226020336145,0.7481572163096406,0.7499,0.4783,0.0896,-0.38540962450239397,304.2108771207487,182.70396017435917,449.3812940245562
ONI Central | Temp Low | Metals Down,Central,Low,Down,NVT,162.38,-0.0029850481282892136,-0.0064505200843592014,-0.231489777916974,-0.09743980309734987,0.0829100089344108,0.24979354727246741,0.4803,0.0846,0.0783,-0.2767409310107807,161.33256454870175,124.79068986184176,202.94147620610323
ONI Central | Temp Low | Metals Down,Central,Low,Down,JCI,146.01,-0.040356820359611426,-0.03420548905394366,-0.24032334905422312,-0.11362539908192223,0.037032589181259234,0.13806506382286288,0.3745,0.0132,0.088,-0.2971928431752024,141.01565654323366,110.92038780459288,166.1688799687762
ONI Central | Temp Low | Metals Down,Central,Low,Down,TT,442.52,0.01000411467452806,0.013125062425900835,-0.19114180783630513,-0.07086630930965371,0.0925828970959614,0.20569536841927902,0.5399,0.0561,0.0433,-0.2561544128076023,448.32810262470963,357.9359271962782,533.5443144328993
ONI Central | Temp Low | Metals Down,Central,Low,Down,SPXC,191.82,-0.05216550570467906,-0.05476457317995964,-0.2496148705473125,-0.134001606889394,0.028269085993878007,0.1513037480551389,0.3286,0.023,0.1054,-0.3142335714463445,181.31505957262013,143.9388755316145,220.84308495193673
ONI Central | Temp Low | Metals Down,Central,Low,Down,Basket,100.0,0.03407586643010499,0.039837318208027495,-0.211645651891728,-0.055442865044166734,0.1317164189173261,0.2552964146333215,0.6132,0.1122,0.0572,-0.28254258103234886,103.98373182080275,78.8354348108272,125.52964146333215
ONI Central | Temp Low | Metals Base,Central,Low,Base,MOD,189.3,0.11886061388163648,0.08750910294556846,-0.35246027014328757,-0.10626488691286282,0.31264150741025276,0.6880817441368422,0.617,0.3656,0.1505,-0.453252281932684,205.86547318759614,122.57927086187567,319.5538741651043
