month,variant,ticker,weight,hedge_weight,gross_exposure,net_exposure,turnover,cost
2023-09,confirmed,JCI,0.0,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,TT,0.0,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,SPXC,0.0,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,XLI_HEDGE,0.0,-0.8582867618474845,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,core_signal,MOD,0.14233420338150027,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,AAON,0.08117072475175516,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,VRT,0.10743858006774443,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,NVT,0.11341813667833699,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,JCI,0.09136083913190429,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,TT,0.11697119669841767,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,SPXC,0.0936832377749006,0.0,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-09,core_signal,XLI_HEDGE,0.0,-0.309681771867866,0.7463769184845594,0.4366951466166934,0.3041466327192921,0.00045621994907893816
2023-10,basic,MOD,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,AAON,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,VRT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,NVT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,JCI,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,TT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,SPXC,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,basic,XLI_HEDGE,0.0,-0.0,0.9999999999999998,0.9999999999999998,0.0,0.0
2023-10,inverse_vol,MOD,0.09859793712937706,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,AAON,0.1307459662923994,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,VRT,0.07647539918897382,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,NVT,0.1829819393609857,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,JCI,0.15032081574493095,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,TT,0.20258655218389302,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,SPXC,0.1582913900994402,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,inverse_vol,XLI_HEDGE,0.0,-0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,vol_target,MOD,0.07197201248587404,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,AAON,0.09543861253533803,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,VRT,0.05582356533553777,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,NVT,0.13356849856906855,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,JCI,0.10972736289081524,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,TT,0.14787897483207152,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,SPXC,0.11554551987932901,0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,vol_target,XLI_HEDGE,0.0,-0.0,0.7299545465280343,0.7299545465280343,0.02844735795024153,4.2671036925362296e-05
2023-10,trend,MOD,0.04929896856468853,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,AAON,0.0653729831461997,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,VRT,0.03823769959448691,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
