episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2023-04 to 2024-08,MCY,Core MA + ATR,0.07915927645894683,107915.92764589468,0.19197656735952554,0.37460353377441163,-0.18783595262394803,0.5046728971962616,0.23809523809523808,24,3
2023-04 to 2024-08,MCY,Enhanced short/order-book,-0.11720834347418996,88279.16565258101,0.11695064453313955,-0.693139506536006,-0.1712323519161537,0.46875,0.1400560224089636,16,2
2023-04 to 2024-08,LMND,Core MA + ATR,-0.040189242991194196,95981.07570088058,0.4883380954486259,0.18529279365773965,-0.636452190505526,0.45454545454545453,0.21008403361344538,16,2
2023-04 to 2024-08,LMND,Enhanced short/order-book,0.22213365603854718,122213.36560385472,0.4746703962596608,0.5359540852007656,-0.5160576590881256,0.4936708860759494,0.19047619047619047,13,1
2023-04 to 2024-08,CINF,Core MA + ATR,-0.07308218491921903,92691.7815080781,0.08892760612667013,-0.5578635424068036,-0.12276899732321944,0.49019607843137253,0.21568627450980393,27,2
2023-04 to 2024-08,CINF,Enhanced short/order-book,-0.0010758352876412136,99892.41647123588,0.03078302024265407,-0.00930764975357845,-0.035136052917375205,0.6,0.06722689075630252,11,0
2023-04 to 2024-08,PGR,Core MA + ATR,-0.03236106706604225,96763.89329339577,0.10739642474098791,-0.16243746942702172,-0.13504161616760435,0.5566037735849056,0.22408963585434175,27,1
2023-04 to 2024-08,PGR,Enhanced short/order-book,-0.07878994305397913,92121.00569460209,0.09847947437958136,-0.5388220404976993,-0.17383043696404832,0.5428571428571428,0.14285714285714285,20,1
2023-04 to 2024-08,AIZ,Core MA + ATR,0.07008858642731486,107008.85864273149,0.08862282491125005,0.5835006754797577,-0.10570281568036533,0.5578947368421052,0.20448179271708683,21,0
2023-04 to 2024-08,AIZ,Enhanced short/order-book,-0.10023155562560804,89976.8444374392,0.07045724829309155,-1.0230439579844823,-0.10570281568036533,0.46774193548387094,0.12605042016806722,17,0
