episode,date,series,return
2009-05 to 2010-04,2010-07-23,Core MA + ATR,0.00020859001929702763
2009-05 to 2010-04,2010-07-26,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-27,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-28,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-29,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-30,Core MA + ATR,0.0
2009-05 to 2010-04,2009-08-03,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-04,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-05,Enhanced short/order-book,-0.0020325285254057454
2009-05 to 2010-04,2009-08-06,Enhanced short/order-book,0.000921042077757648
2009-05 to 2010-04,2009-08-07,Enhanced short/order-book,0.0007575757575757902
2009-05 to 2010-04,2009-08-10,Enhanced short/order-book,0.0005568788311139141
2009-05 to 2010-04,2009-08-11,Enhanced short/order-book,-0.002755348902908062
2009-05 to 2010-04,2009-08-12,Enhanced short/order-book,0.008928571428571425
2009-05 to 2010-04,2009-08-13,Enhanced short/order-book,0.0017577195432495823
2009-05 to 2010-04,2009-08-14,Enhanced short/order-book,-0.0026893988043290226
2009-05 to 2010-04,2009-08-17,Enhanced short/order-book,-0.004728546409807369
2009-05 to 2010-04,2009-08-18,Enhanced short/order-book,0.00013651255915544946
2009-05 to 2010-04,2009-08-19,Enhanced short/order-book,9.090909090908594e-05
2009-05 to 2010-04,2009-08-20,Enhanced short/order-book,-0.0003662790697674354
2009-05 to 2010-04,2009-08-21,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-24,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-25,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-26,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-27,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-08-28,Enhanced short/order-book,-0.006582123911004181
2009-05 to 2010-04,2009-08-31,Enhanced short/order-book,-0.01855932044469939
2009-05 to 2010-04,2009-09-01,Enhanced short/order-book,-0.004831512237762233
2009-05 to 2010-04,2009-09-02,Enhanced short/order-book,-0.0016383058947521643
2009-05 to 2010-04,2009-09-03,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-04,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-08,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-09,Enhanced short/order-book,0.0016528253424657503
2009-05 to 2010-04,2009-09-10,Enhanced short/order-book,-0.000913125449164786
2009-05 to 2010-04,2009-09-11,Enhanced short/order-book,-0.0032978022339666645
2009-05 to 2010-04,2009-09-14,Enhanced short/order-book,-0.0016325757575757459
2009-05 to 2010-04,2009-09-15,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-16,Enhanced short/order-book,-0.0005877874464279667
2009-05 to 2010-04,2009-09-17,Enhanced short/order-book,-0.0004038080550419729
2009-05 to 2010-04,2009-09-18,Enhanced short/order-book,-0.0011866461748633837
2009-05 to 2010-04,2009-09-21,Enhanced short/order-book,-0.002436638643880936
2009-05 to 2010-04,2009-09-22,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-23,Enhanced short/order-book,-0.0013128160466326332
2009-05 to 2010-04,2009-09-24,Enhanced short/order-book,0.003224685130422209
2009-05 to 2010-04,2009-09-25,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-28,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-09-29,Enhanced short/order-book,-0.0006568130630630573
2009-05 to 2010-04,2009-09-30,Enhanced short/order-book,-0.007274744545357755
2009-05 to 2010-04,2009-10-01,Enhanced short/order-book,-0.0010861954358355151
2009-05 to 2010-04,2009-10-02,Enhanced short/order-book,0.0029588740375716474
2009-05 to 2010-04,2009-10-05,Enhanced short/order-book,0.002648591589014433
